,,,,,,,by cancer type,,,,,gene set,,,,,,,
RPS7,CD8.c14(TCF7+ Tex),0.22 ,8.14E-07,3.36E-05,385,51.29%,1,0.13 ,8,0.41 ,2.98E-07,,,,,,,,
RPL10,CD8.c14(TCF7+ Tex),0.22 ,5.42E-11,8.29E-09,387,51.66%,2,0.25 ,8,0.34 ,4.85E-05,,,,,,,,
PYCR1,CD8.c14(TCF7+ Tex),0.22 ,3.03E-05,7.23E-04,388,2.66%,3,0.38 ,8,0.43 ,1.40E-03,,,,,,TRUE,,TRUE
KIAA0319L,CD8.c14(TCF7+ Tex),0.22 ,1.69E-04,2.86E-03,389,23.73%,4,0.50 ,8,0.42 ,2.28E-09,,,,,TRUE,,,
NUDT16,CD8.c14(TCF7+ Tex),0.22 ,1.22E-06,4.88E-05,390,9.24%,2,0.25 ,8,0.41 ,1.44E-09,,,,,,TRUE,,
TBXAS1,CD8.c14(TCF7+ Tex),0.22 ,2.04E-15,8.60E-13,391,4.66%,1,0.13 ,8,0.30 ,6.03E-02,,,,,TRUE,TRUE,TRUE,
NACA,CD8.c14(TCF7+ Tex),0.22 ,4.40E-05,9.93E-04,392,52.85%,2,0.25 ,8,0.38 ,1.76E-02,,,,,,,,
NTRK2,CD8.c14(TCF7+ Tex),0.22 ,2.98E-04,4.47E-03,394,1.48%,3,0.38 ,8,0.61 ,2.32E-04,,TRUE,,,TRUE,TRUE,,TRUE
CALM3,CD8.c14(TCF7+ Tex),0.22 ,3.96E-10,4.62E-08,397,54.84%,2,0.25 ,8,0.45 ,2.65E-03,,,,,,,,
TMEM64,CD8.c14(TCF7+ Tex),0.21 ,7.68E-05,1.55E-03,398,9.24%,3,0.38 ,8,0.52 ,3.36E-05,,,,,TRUE,,,
ZNF706,CD8.c14(TCF7+ Tex),0.21 ,4.79E-07,2.12E-05,399,48.71%,3,0.38 ,8,0.48 ,7.72E-04,,,,,,,,
GRAMD1A,CD8.c14(TCF7+ Tex),0.21 ,1.26E-06,5.02E-05,402,27.27%,3,0.38 ,8,0.42 ,1.86E-03,,,,,TRUE,,,
RNASET2,CD8.c14(TCF7+ Tex),0.21 ,1.42E-06,5.51E-05,405,41.02%,2,0.25 ,8,0.39 ,1.20E-08,,,,TRUE,,,,
MAML2,CD8.c14(TCF7+ Tex),0.21 ,6.36E-15,2.34E-12,406,19.73%,2,0.25 ,8,0.32 ,2.50E-01,,,,,,,,
CCNI,CD8.c14(TCF7+ Tex),0.21 ,2.34E-06,8.40E-05,407,53.07%,2,0.25 ,8,0.47 ,1.42E-02,,TRUE,,,,,,
SLC25A46,CD8.c14(TCF7+ Tex),0.21 ,2.77E-05,6.70E-04,408,22.62%,3,0.38 ,8,0.63 ,1.17E-04,,,,,TRUE,,,TRUE
ZNF580,CD8.c14(TCF7+ Tex),0.21 ,4.10E-08,2.55E-06,409,14.78%,2,0.25 ,8,0.30 ,1.02E-01,TRUE,,,,,,,
RPL36,CD8.c14(TCF7+ Tex),0.21 ,3.55E-11,5.57E-09,410,53.88%,2,0.25 ,8,0.32 ,6.34E-06,,,,,,,,
SLA,CD8.c14(TCF7+ Tex),0.21 ,1.79E-07,8.99E-06,411,51.29%,2,0.25 ,8,0.33 ,2.00E-01,,TRUE,,,,,,
EIF4B,CD8.c14(TCF7+ Tex),0.21 ,5.51E-06,1.77E-04,412,53.29%,2,0.25 ,8,0.40 ,3.61E-05,,,,,,,,
PSIP1,CD8.c14(TCF7+ Tex),0.21 ,9.21E-09,7.23E-07,416,42.42%,3,0.38 ,8,0.37 ,3.45E-06,,,,,,,,
FZD6,CD8.c14(TCF7+ Tex),0.20 ,1.33E-04,2.37E-03,422,3.62%,3,0.38 ,8,0.55 ,8.44E-06,,,,,TRUE,,,TRUE
MPST,CD8.c14(TCF7+ Tex),0.20 ,5.60E-06,1.79E-04,423,17.00%,3,0.38 ,8,0.38 ,1.70E-02,,,,,,TRUE,,TRUE
HBS1L,CD8.c14(TCF7+ Tex),0.20 ,2.37E-05,5.89E-04,424,25.79%,1,0.13 ,8,0.36 ,6.32E-06,,,,,TRUE,,,
PJA2,CD8.c14(TCF7+ Tex),0.20 ,2.29E-04,3.59E-03,430,27.94%,1,0.13 ,8,0.40 ,2.42E-01,,,,,,TRUE,,
ST13,CD8.c14(TCF7+ Tex),0.20 ,7.92E-10,8.56E-08,433,49.59%,1,0.13 ,8,0.38 ,9.26E-02,,,,,,,,
ATP5A1,CD8.c14(TCF7+ Tex),0.20 ,1.54E-06,5.92E-05,434,51.37%,2,0.25 ,8,0.34 ,3.98E-05,,,,,,,,
SPCS1,CD8.c14(TCF7+ Tex),0.20 ,6.45E-10,7.17E-08,436,54.69%,2,0.25 ,8,0.34 ,4.80E-02,,,,,TRUE,,,
RPL24,CD8.c14(TCF7+ Tex),0.20 ,1.29E-11,2.30E-09,437,52.18%,2,0.25 ,8,0.39 ,8.62E-02,,,,,,,,
MTUS1,CD8.c14(TCF7+ Tex),0.20 ,7.29E-06,2.20E-04,439,3.33%,2,0.25 ,8,0.33 ,4.45E-05,,,,,TRUE,,,
AHR,CD8.c14(TCF7+ Tex),0.20 ,4.96E-04,6.72E-03,441,22.76%,3,0.38 ,8,0.54 ,1.21E-05,TRUE,,,,,,,
ANXA7,CD8.c14(TCF7+ Tex),0.20 ,5.48E-05,1.19E-03,443,40.06%,2,0.25 ,8,0.44 ,6.53E-09,,,,,,,,
SFI1,CD8.c14(TCF7+ Tex),0.20 ,1.67E-05,4.47E-04,444,23.58%,3,0.38 ,8,0.35 ,7.33E-04,,,,,,,,
BEX4,CD8.c14(TCF7+ Tex),0.20 ,1.77E-04,2.95E-03,446,14.71%,4,0.50 ,8,0.45 ,6.43E-04,,,,,,,,
EIF3D,CD8.c14(TCF7+ Tex),0.20 ,6.66E-11,1.00E-08,447,47.01%,1,0.13 ,8,0.32 ,1.70E-04,,,,,,,,
MAPKAPK3,CD8.c14(TCF7+ Tex),0.20 ,8.82E-05,1.72E-03,448,18.48%,2,0.25 ,8,0.55 ,6.75E-05,,TRUE,,,TRUE,TRUE,,TRUE
BCL6,CD8.c14(TCF7+ Tex),0.20 ,7.73E-04,9.64E-03,451,13.30%,3,0.38 ,8,0.35 ,4.14E-07,TRUE,,,,,,,
CLPP,CD8.c14(TCF7+ Tex),0.20 ,1.43E-04,2.51E-03,452,38.51%,2,0.25 ,8,0.47 ,2.74E-04,,,,,,TRUE,,TRUE
GRHPR,CD8.c14(TCF7+ Tex),0.20 ,2.04E-04,3.30E-03,454,24.76%,1,0.13 ,8,0.45 ,2.79E-09,,,,,,TRUE,,TRUE
KDM5B,CD8.c14(TCF7+ Tex),0.19 ,1.32E-10,1.80E-08,459,21.29%,1,0.13 ,8,0.33 ,3.19E-02,TRUE,,,,,,,
LAT,CD8.c14(TCF7+ Tex),0.19 ,4.06E-05,9.24E-04,461,50.41%,1,0.13 ,8,0.45 ,3.42E-09,,,,,TRUE,,,
HPCAL1,CD8.c14(TCF7+ Tex),0.19 ,3.01E-05,7.19E-04,462,26.09%,2,0.25 ,8,0.38 ,8.01E-03,,,,,,,,
RMND5B,CD8.c14(TCF7+ Tex),0.19 ,3.66E-08,2.35E-06,466,7.02%,1,0.13 ,8,0.39 ,1.28E-02,,,,,,,,
STT3B,CD8.c14(TCF7+ Tex),0.19 ,2.28E-12,4.79E-10,469,29.71%,1,0.13 ,8,0.36 ,1.30E-01,,,,,TRUE,TRUE,,TRUE
PRDX1,CD8.c14(TCF7+ Tex),0.19 ,1.08E-04,2.02E-03,470,48.63%,2,0.25 ,8,0.49 ,1.28E-04,,,,,,TRUE,,
RPS26,CD8.c14(TCF7+ Tex),0.19 ,3.54E-05,8.21E-04,474,46.64%,1,0.13 ,8,0.38 ,1.19E-07,,,,,,,,
NME2,CD8.c14(TCF7+ Tex),0.19 ,2.55E-05,6.25E-04,475,46.05%,2,0.25 ,8,0.50 ,9.30E-05,,TRUE,,,,TRUE,,
CLNS1A,CD8.c14(TCF7+ Tex),0.19 ,1.57E-06,6.00E-05,476,35.77%,3,0.38 ,8,0.37 ,2.24E-02,,,,,,,,
TIAM2,CD8.c14(TCF7+ Tex),0.19 ,6.58E-09,5.54E-07,478,5.99%,1,0.13 ,8,0.35 ,3.43E-02,,,,,,,,
ARID4B,CD8.c14(TCF7+ Tex),0.19 ,3.65E-12,7.17E-10,479,52.77%,1,0.13 ,8,0.27 ,2.40E-02,TRUE,,TRUE,,,,,
SIAH2,CD8.c14(TCF7+ Tex),0.19 ,1.41E-04,2.49E-03,480,28.53%,3,0.38 ,8,0.43 ,1.31E-03,,,,,,TRUE,,
PAK2,CD8.c14(TCF7+ Tex),0.19 ,5.66E-05,1.22E-03,488,49.45%,2,0.25 ,8,0.33 ,7.79E-06,,TRUE,,,,TRUE,,
ATM,CD8.c14(TCF7+ Tex),0.19 ,8.99E-05,1.74E-03,489,35.11%,2,0.25 ,8,0.38 ,1.55E-06,,TRUE,,,TRUE,TRUE,,TRUE
NIT1,CD8.c14(TCF7+ Tex),0.19 ,1.43E-04,2.51E-03,491,13.08%,3,0.38 ,8,0.57 ,8.34E-04,,,,,,,,
NME3,CD8.c14(TCF7+ Tex),0.19 ,3.10E-04,4.62E-03,493,30.16%,2,0.25 ,8,0.46 ,1.85E-02,,TRUE,,,,TRUE,,
SRGAP3,CD8.c14(TCF7+ Tex),0.18 ,1.96E-11,3.39E-09,498,13.38%,1,0.13 ,8,0.34 ,4.79E-02,,,,,,,,
CARHSP1,CD8.c14(TCF7+ Tex),0.18 ,3.04E-04,4.55E-03,499,32.67%,2,0.25 ,8,0.39 ,1.42E-06,TRUE,,,,,,,
RPS10,CD8.c14(TCF7+ Tex),0.18 ,1.45E-06,5.58E-05,500,52.92%,0,0.00 ,8,0.48 ,1.25E-02,,,,,TRUE,,,
SIPA1L1,CD8.c14(TCF7+ Tex),0.18 ,9.27E-05,1.78E-03,501,20.47%,2,0.25 ,8,0.48 ,8.44E-04,,,,,,,,
PFDN5,CD8.c14(TCF7+ Tex),0.18 ,1.69E-07,8.53E-06,502,51.22%,1,0.13 ,8,0.32 ,7.43E-02,,,,,,,,
NBEAL1,CD8.c14(TCF7+ Tex),0.18 ,1.71E-04,2.87E-03,503,37.32%,3,0.38 ,8,0.30 ,6.10E-04,,,,,,,,
EVC,CD8.c14(TCF7+ Tex),0.18 ,4.80E-04,6.57E-03,505,2.07%,1,0.13 ,8,0.48 ,1.02E-02,,,,,TRUE,,,
SV2A,CD8.c14(TCF7+ Tex),0.18 ,2.76E-11,4.46E-09,508,4.80%,1,0.13 ,8,0.28 ,8.78E-04,,,,,TRUE,,TRUE,
RPL41,CD8.c14(TCF7+ Tex),0.18 ,4.83E-08,2.96E-06,510,50.78%,1,0.13 ,8,0.31 ,3.84E-05,,,,,,,,
PGLS,CD8.c14(TCF7+ Tex),0.18 ,1.39E-04,2.45E-03,511,33.48%,2,0.25 ,8,0.42 ,1.11E-07,,,,,,TRUE,,
ISCU,CD8.c14(TCF7+ Tex),0.18 ,8.62E-05,1.69E-03,512,47.30%,1,0.13 ,8,0.42 ,6.70E-03,,,,,,,,
ALKBH7,CD8.c14(TCF7+ Tex),0.18 ,5.22E-07,2.28E-05,515,34.00%,1,0.13 ,8,0.27 ,2.98E-03,,,,,,,,
WBP1,CD8.c14(TCF7+ Tex),0.18 ,2.50E-09,2.26E-07,516,24.91%,0,0.00 ,8,0.30 ,7.06E-02,,,,,TRUE,,,
TACC3,CD8.c14(TCF7+ Tex),0.18 ,7.06E-07,3.00E-05,517,20.99%,2,0.25 ,8,0.38 ,7.53E-03,,,,,,,,
COX4I1,CD8.c14(TCF7+ Tex),0.18 ,2.51E-07,1.23E-05,519,53.07%,1,0.13 ,8,0.33 ,3.17E-02,,,,,TRUE,,,
EDF1,CD8.c14(TCF7+ Tex),0.18 ,1.44E-06,5.57E-05,523,53.66%,1,0.13 ,8,0.27 ,8.90E-04,,,,,,,,
TMBIM4,CD8.c14(TCF7+ Tex),0.18 ,1.40E-05,3.86E-04,527,30.01%,2,0.25 ,8,0.33 ,2.90E-02,,,,,TRUE,,,
MZT2A,CD8.c14(TCF7+ Tex),0.18 ,7.85E-07,3.28E-05,529,42.42%,2,0.25 ,8,0.31 ,4.27E-04,,,,,,,,
PABPC1,CD8.c14(TCF7+ Tex),0.18 ,7.24E-06,2.19E-04,530,46.93%,1,0.13 ,8,0.33 ,5.83E-02,,,,,,,,
SLC35A2,CD8.c14(TCF7+ Tex),0.18 ,4.72E-07,2.10E-05,531,9.68%,0,0.00 ,8,0.34 ,4.27E-02,,,,,TRUE,,,TRUE
IL10RB,CD8.c14(TCF7+ Tex),0.18 ,7.35E-04,9.26E-03,534,18.11%,1,0.13 ,8,0.44 ,3.60E-03,,,,,TRUE,,,
ZBED5,CD8.c14(TCF7+ Tex),0.18 ,1.14E-04,2.08E-03,535,13.90%,1,0.13 ,8,0.63 ,1.36E-04,TRUE,,,,,,,
STAMBPL1,CD8.c14(TCF7+ Tex),0.18 ,4.71E-05,1.05E-03,536,16.63%,2,0.25 ,8,0.33 ,4.41E-05,,,,,,TRUE,,
ITPKB,CD8.c14(TCF7+ Tex),0.18 ,1.54E-04,2.67E-03,537,16.04%,1,0.13 ,8,0.33 ,1.23E-01,,TRUE,,,,TRUE,,
LIMD2,CD8.c14(TCF7+ Tex),0.18 ,3.97E-05,9.10E-04,539,53.36%,2,0.25 ,8,0.40 ,6.00E-07,,,,,,,,
TMEM134,CD8.c14(TCF7+ Tex),0.17 ,1.78E-08,1.28E-06,542,24.17%,0,0.00 ,8,0.31 ,1.97E-01,,,,,TRUE,,,
AMPD3,CD8.c14(TCF7+ Tex),0.17 ,6.14E-05,1.31E-03,546,4.95%,1,0.13 ,8,0.32 ,4.29E-02,,,,,,TRUE,,TRUE
ZNF292,CD8.c14(TCF7+ Tex),0.17 ,1.28E-06,5.07E-05,547,34.37%,2,0.25 ,8,0.40 ,9.15E-03,TRUE,,,,,,,
RANGAP1,CD8.c14(TCF7+ Tex),0.17 ,5.33E-05,1.17E-03,549,24.02%,2,0.25 ,8,0.34 ,2.31E-05,,,,,,,,
PHB2,CD8.c14(TCF7+ Tex),0.17 ,2.07E-04,3.35E-03,550,46.56%,2,0.25 ,8,0.39 ,2.00E-06,,,,,,,,
RPL34,CD8.c14(TCF7+ Tex),0.17 ,4.63E-07,2.07E-05,551,50.26%,1,0.13 ,8,0.32 ,3.84E-06,,,,,,,,
RPUSD3,CD8.c14(TCF7+ Tex),0.17 ,3.19E-10,3.93E-08,553,16.70%,1,0.13 ,8,0.23 ,2.84E-03,,,,,,,,
GOLGA8B,CD8.c14(TCF7+ Tex),0.17 ,2.19E-04,3.49E-03,556,22.25%,3,0.38 ,8,0.32 ,3.70E-03,,,,,,,,
ZNF638,CD8.c14(TCF7+ Tex),0.17 ,3.75E-10,4.46E-08,557,32.00%,1,0.13 ,8,0.26 ,5.50E-01,,,,,,,,
RPL23,CD8.c14(TCF7+ Tex),0.17 ,1.11E-05,3.21E-04,559,53.36%,0,0.00 ,8,0.30 ,1.19E-02,,,,,,,,
COMMD6,CD8.c14(TCF7+ Tex),0.17 ,4.45E-10,5.09E-08,563,50.26%,0,0.00 ,8,0.27 ,1.69E-01,,,,,,,,
GDI2,CD8.c14(TCF7+ Tex),0.17 ,1.54E-05,4.20E-04,566,49.15%,2,0.25 ,8,0.38 ,6.68E-03,,,,,,,,
CD151,CD8.c14(TCF7+ Tex),0.17 ,4.89E-04,6.67E-03,569,18.70%,1,0.13 ,8,0.39 ,1.27E-02,,,,,TRUE,,,TRUE
MTA3,CD8.c14(TCF7+ Tex),0.17 ,5.60E-04,7.40E-03,570,7.10%,1,0.13 ,8,0.35 ,1.26E-05,TRUE,,,,,,,
TSPO,CD8.c14(TCF7+ Tex),0.17 ,7.73E-05,1.56E-03,573,45.53%,0,0.00 ,8,0.34 ,4.24E-02,,,,,TRUE,,TRUE,
CRTAP,CD8.c14(TCF7+ Tex),0.17 ,1.96E-04,3.20E-03,575,21.29%,1,0.13 ,8,0.35 ,1.66E-05,,,,TRUE,,,,
BTF3L4,CD8.c14(TCF7+ Tex),0.17 ,1.47E-04,2.56E-03,576,25.87%,1,0.13 ,8,0.37 ,4.29E-06,,,,,,,,
GRB2,CD8.c14(TCF7+ Tex),0.17 ,2.98E-06,1.05E-04,577,45.90%,2,0.25 ,8,0.29 ,1.30E-01,,,,,,,,
SMARCE1,CD8.c14(TCF7+ Tex),0.17 ,7.74E-04,9.64E-03,578,33.70%,2,0.25 ,8,0.38 ,1.05E-01,TRUE,,,,,,,
CARS,CD8.c14(TCF7+ Tex),0.17 ,2.35E-04,3.67E-03,579,26.83%,1,0.13 ,8,0.35 ,1.63E-02,,,,,,TRUE,,TRUE
NPAT,CD8.c14(TCF7+ Tex),0.17 ,1.31E-05,3.64E-04,582,21.21%,1,0.13 ,8,0.33 ,6.29E-02,,,,,,,,
EVC2,CD8.c14(TCF7+ Tex),0.17 ,1.08E-09,1.14E-07,587,4.80%,1,0.13 ,8,0.23 ,5.49E-03,,,,,TRUE,,,
DALRD3,CD8.c14(TCF7+ Tex),0.17 ,4.89E-08,2.98E-06,590,18.77%,1,0.13 ,8,0.28 ,1.03E-03,,,,,,,,
TOMM34,CD8.c14(TCF7+ Tex),0.17 ,1.05E-05,3.04E-04,591,12.71%,1,0.13 ,8,0.34 ,1.96E-01,,,,,,,,
SDCCAG8,CD8.c14(TCF7+ Tex),0.17 ,7.17E-08,4.10E-06,593,15.82%,0,0.00 ,8,0.27 ,1.42E-01,,,,,,,,
WDR83OS,CD8.c14(TCF7+ Tex),0.17 ,1.47E-05,4.00E-04,594,49.59%,1,0.13 ,8,0.38 ,1.64E-02,,,,,TRUE,,,
APEX1,CD8.c14(TCF7+ Tex),0.17 ,4.92E-06,1.61E-04,596,32.52%,1,0.13 ,8,0.29 ,6.75E-04,,,,,,TRUE,TRUE,
C1orf43,CD8.c14(TCF7+ Tex),0.17 ,1.87E-05,4.89E-04,597,45.90%,1,0.13 ,8,0.28 ,1.53E-01,,,,,TRUE,,,
EIF2S3,CD8.c14(TCF7+ Tex),0.17 ,4.03E-04,5.75E-03,598,41.54%,3,0.38 ,8,0.38 ,8.36E-03,,,,,,,,
HMGN3,CD8.c14(TCF7+ Tex),0.16 ,1.68E-09,1.61E-07,600,40.35%,0,0.00 ,8,0.30 ,6.44E-02,,,,,,,,
C19orf53,CD8.c14(TCF7+ Tex),0.16 ,3.97E-08,2.49E-06,604,49.96%,0,0.00 ,8,0.38 ,1.55E-02,,,,,,,,
TCEAL8,CD8.c14(TCF7+ Tex),0.16 ,3.21E-06,1.12E-04,606,13.67%,1,0.13 ,8,0.28 ,1.59E-01,,,,,,,,
ALDH6A1,CD8.c14(TCF7+ Tex),0.16 ,2.12E-09,1.97E-07,608,5.84%,0,0.00 ,8,0.29 ,1.19E-01,,,,,TRUE,TRUE,,TRUE
SRFBP1,CD8.c14(TCF7+ Tex),0.16 ,3.77E-05,8.67E-04,610,13.67%,0,0.00 ,8,0.34 ,1.96E-01,,,,,,,,
TAF9B,CD8.c14(TCF7+ Tex),0.16 ,4.41E-04,6.19E-03,613,9.98%,2,0.25 ,8,0.34 ,2.96E-05,,,,,,,,
RPL35A,CD8.c14(TCF7+ Tex),0.16 ,2.83E-05,6.82E-04,614,49.30%,1,0.13 ,8,0.43 ,3.73E-02,,,,,,,,
ERGIC3,CD8.c14(TCF7+ Tex),0.16 ,2.95E-09,2.65E-07,615,40.65%,0,0.00 ,8,0.30 ,7.08E-02,,,,,TRUE,,,
TMEM2,CD8.c14(TCF7+ Tex),0.16 ,1.19E-06,4.79E-05,616,44.35%,2,0.25 ,8,0.25 ,2.50E-03,,,,,TRUE,TRUE,,
RPL22L1,CD8.c14(TCF7+ Tex),0.16 ,3.28E-09,2.92E-07,619,47.45%,1,0.13 ,8,0.25 ,2.18E-01,,,,,,,,
ZNF610,CD8.c14(TCF7+ Tex),0.16 ,8.97E-05,1.74E-03,621,1.26%,1,0.13 ,8,0.40 ,3.70E-05,TRUE,,,,,,,
EIF2D,CD8.c14(TCF7+ Tex),0.16 ,1.79E-07,8.99E-06,623,12.86%,0,0.00 ,8,0.41 ,5.30E-02,,,,,,,,
TSPAN14,CD8.c14(TCF7+ Tex),0.16 ,5.94E-05,1.27E-03,624,38.21%,2,0.25 ,8,0.29 ,7.41E-05,,,,,TRUE,,,
SH3KBP1,CD8.c14(TCF7+ Tex),0.16 ,6.41E-05,1.36E-03,627,48.78%,1,0.13 ,8,0.31 ,5.79E-02,,,,,,,,
COX8A,CD8.c14(TCF7+ Tex),0.16 ,9.28E-05,1.78E-03,628,53.66%,1,0.13 ,8,0.29 ,6.53E-05,,,,,TRUE,,,
C6orf48,CD8.c14(TCF7+ Tex),0.16 ,6.26E-05,1.33E-03,632,33.33%,1,0.13 ,8,0.49 ,9.05E-03,,,,,,,,
SPTAN1,CD8.c14(TCF7+ Tex),0.16 ,9.29E-05,1.78E-03,634,43.24%,0,0.00 ,8,0.25 ,2.34E-01,,,,,,,,
CEP170,CD8.c14(TCF7+ Tex),0.16 ,5.75E-09,4.94E-07,636,9.68%,1,0.13 ,8,0.22 ,2.05E-02,,,,,TRUE,,,
SCCPDH,CD8.c14(TCF7+ Tex),0.16 ,6.94E-04,8.85E-03,640,16.33%,3,0.38 ,8,0.41 ,3.14E-03,,,,,TRUE,,,
ANAPC16,CD8.c14(TCF7+ Tex),0.16 ,1.09E-04,2.03E-03,645,51.88%,1,0.13 ,8,0.33 ,1.70E-06,,,,,,,,
MAN2B1,CD8.c14(TCF7+ Tex),0.16 ,8.71E-05,1.70E-03,648,19.51%,1,0.13 ,8,0.31 ,4.27E-04,,,,,,TRUE,,TRUE
MRPL3,CD8.c14(TCF7+ Tex),0.16 ,6.86E-05,1.43E-03,649,24.69%,1,0.13 ,8,0.30 ,9.69E-02,,,,,,,,
HNRNPK,CD8.c14(TCF7+ Tex),0.16 ,7.15E-04,9.07E-03,650,52.25%,1,0.13 ,8,0.30 ,1.07E-01,TRUE,,,,,,,
MRPS21,CD8.c14(TCF7+ Tex),0.16 ,6.45E-08,3.72E-06,651,44.57%,1,0.13 ,8,0.31 ,2.69E-01,,,,,,,,
C20orf196,CD8.c14(TCF7+ Tex),0.16 ,3.19E-04,4.74E-03,653,12.34%,1,0.13 ,8,0.26 ,1.59E-01,,,,,,,,
TMEM256-PLSCR3,CD8.c14(TCF7+ Tex),0.16 ,2.63E-08,1.76E-06,654,19.07%,1,0.13 ,8,0.22 ,3.29E-02,,,,,,,,
P2RY10,CD8.c14(TCF7+ Tex),0.16 ,1.80E-05,4.75E-04,657,37.92%,1,0.13 ,8,0.27 ,7.05E-04,,,,,TRUE,,,
MBOAT7,CD8.c14(TCF7+ Tex),0.16 ,4.95E-04,6.72E-03,660,12.79%,2,0.25 ,8,0.37 ,9.13E-03,,,,,TRUE,TRUE,,TRUE
TSR3,CD8.c14(TCF7+ Tex),0.16 ,2.21E-04,3.52E-03,661,15.00%,1,0.13 ,8,0.50 ,4.71E-04,,,,,,,,
ASNS,CD8.c14(TCF7+ Tex),0.15 ,1.45E-08,1.08E-06,662,9.76%,1,0.13 ,8,0.27 ,4.73E-01,,,,,,TRUE,,TRUE
COX5B,CD8.c14(TCF7+ Tex),0.15 ,8.11E-07,3.36E-05,666,51.59%,1,0.13 ,8,0.31 ,4.18E-03,,,,,,,,
MRPL35,CD8.c14(TCF7+ Tex),0.15 ,8.51E-05,1.67E-03,668,10.86%,1,0.13 ,8,0.36 ,1.45E-05,,,,,,,,
NSF,CD8.c14(TCF7+ Tex),0.15 ,6.20E-06,1.92E-04,669,20.25%,2,0.25 ,8,0.27 ,2.07E-04,,,,,,TRUE,,
NPM1,CD8.c14(TCF7+ Tex),0.15 ,3.85E-06,1.31E-04,670,50.33%,0,0.00 ,8,0.29 ,8.41E-02,,,,,,,,
IMPDH2,CD8.c14(TCF7+ Tex),0.15 ,3.44E-05,8.04E-04,673,30.89%,1,0.13 ,8,0.34 ,2.67E-02,,,,,,TRUE,TRUE,
ATP5D,CD8.c14(TCF7+ Tex),0.15 ,2.27E-08,1.58E-06,675,53.14%,0,0.00 ,8,0.26 ,5.11E-01,,,,,,,,
NDUFB1,CD8.c14(TCF7+ Tex),0.15 ,2.43E-08,1.65E-06,677,37.40%,0,0.00 ,8,0.20 ,4.14E-01,,,,,TRUE,,,
NDUFAF3,CD8.c14(TCF7+ Tex),0.15 ,1.30E-04,2.33E-03,678,37.10%,1,0.13 ,8,0.35 ,2.14E-06,,,,,,,,
NUDT21,CD8.c14(TCF7+ Tex),0.15 ,5.46E-04,7.24E-03,680,38.80%,1,0.13 ,8,0.30 ,4.93E-04,,,,,,,,
RNFT1,CD8.c14(TCF7+ Tex),0.15 ,2.04E-04,3.30E-03,681,12.93%,0,0.00 ,8,0.34 ,4.45E-02,,,,,TRUE,TRUE,,
MEAF6,CD8.c14(TCF7+ Tex),0.15 ,3.15E-08,2.05E-06,685,44.86%,0,0.00 ,8,0.28 ,1.00E-01,,,,,,,,
PCMTD2,CD8.c14(TCF7+ Tex),0.15 ,1.34E-05,3.70E-04,686,10.42%,1,0.13 ,8,0.32 ,6.22E-06,,,,,,,,
BANF1,CD8.c14(TCF7+ Tex),0.15 ,8.76E-05,1.71E-03,689,43.02%,0,0.00 ,8,0.35 ,2.06E-02,,,,,,,,
ASAP1,CD8.c14(TCF7+ Tex),0.15 ,2.65E-05,6.48E-04,691,12.64%,0,0.00 ,8,0.29 ,9.04E-02,,,,,,,,
SFXN2,CD8.c14(TCF7+ Tex),0.15 ,3.69E-08,2.35E-06,692,5.40%,1,0.13 ,8,0.25 ,5.70E-01,,,,,TRUE,,,
CTTNBP2NL,CD8.c14(TCF7+ Tex),0.15 ,9.56E-08,5.18E-06,695,2.29%,0,0.00 ,8,0.24 ,1.27E-02,,,,,,,,
DLD,CD8.c14(TCF7+ Tex),0.15 ,1.04E-04,1.97E-03,701,22.17%,0,0.00 ,8,0.32 ,4.14E-02,,,,,,TRUE,,TRUE
IFIT1,CD8.c15(ISG+ CD8+ T),2.78 ,6.74E-32,7.48E-30,1,59.66%,15,1.00 ,15,4.51 ,2.67E-269,,,,,,,,
RSAD2,CD8.c15(ISG+ CD8+ T),2.51 ,1.09E-39,1.91E-37,2,63.74%,15,1.00 ,15,3.76 ,0.00E+00,,,,,,,,
IFIT3,CD8.c15(ISG+ CD8+ T),2.45 ,1.34E-40,2.54E-38,3,58.47%,15,1.00 ,15,3.94 ,0.00E+00,,,,,,,,
IFI44L,CD8.c15(ISG+ CD8+ T),2.17 ,9.88E-28,8.61E-26,4,72.10%,15,1.00 ,15,3.47 ,0.00E+00,,,,,,,,
MX1,CD8.c15(ISG+ CD8+ T),2.06 ,1.51E-56,6.85E-54,5,85.92%,15,1.00 ,15,2.93 ,0.00E+00,,,,,,,,
IFI6,CD8.c15(ISG+ CD8+ T),1.98 ,5.01E-33,6.14E-31,6,87.46%,15,1.00 ,15,3.13 ,0.00E+00,,,,,TRUE,,,
OAS1,CD8.c15(ISG+ CD8+ T),1.91 ,1.97E-28,1.81E-26,7,67.08%,15,1.00 ,15,3.41 ,0.00E+00,,,,,,TRUE,,
CMPK2,CD8.c15(ISG+ CD8+ T),1.86 ,4.72E-31,4.96E-29,8,49.28%,15,1.00 ,15,2.98 ,0.00E+00,,TRUE,,,,TRUE,,
ISG15,CD8.c15(ISG+ CD8+ T),1.72 ,3.67E-46,1.01E-43,9,89.91%,14,0.93 ,15,2.69 ,0.00E+00,,,,TRUE,,,,
OAS3,CD8.c15(ISG+ CD8+ T),1.61 ,7.00E-31,7.29E-29,10,51.42%,14,0.93 ,15,2.58 ,0.00E+00,,,,,,TRUE,,
